Date,Open,High,Low,Close,Volume,OpenInt,Ticker
2005-02-25,4.4844,4.5556,4.4765,4.5082,319324,0,ABB
2005-02-28,4.5873,4.5873,4.4685,4.5082,534773,0,ABB
2005-03-01,4.5479,4.5873,4.5399,4.5717,409945,0,ABB
2005-03-02,4.5717,4.5954,4.5399,4.5636,239933,0,ABB
2005-03-03,4.6112,4.6666,4.5873,4.627,962639,0,ABB
2005-03-04,4.722,4.7379,4.6666,4.722,600909,0,ABB
2005-03-07,4.6666,4.6666,4.6033,4.6666,458033,0,ABB
2005-03-08,4.6745,4.7776,4.627,4.6984,279693,0,ABB
2005-03-09,4.6429,4.6508,4.5873,4.635,275528,0,ABB
2005-03-10,4.6824,4.7063,4.627,4.7063,601162,0,ABB
2005-03-11,4.7379,4.7776,4.6824,4.6984,329674,0,ABB
2005-03-14,4.6666,4.6905,4.6112,4.6666,219613,0,ABB
2005-03-15,4.635,4.635,4.5873,4.5873,154359,0,ABB
2005-03-16,4.6745,4.7379,4.627,4.6586,1154867,0,ABB
2005-03-17,4.5954,4.6033,4.5556,4.5873,1076360,0,ABB
2005-03-18,4.5399,4.5717,4.5162,4.5556,303294,0,ABB
2005-03-21,4.8013,4.8489,4.7618,4.8251,1773445,0,ABB
2005-03-22,4.8013,4.8251,4.7301,4.7696,2315411,0,ABB
2005-03-23,4.7379,4.8171,4.7063,4.7776,3297109,0,ABB
2005-03-24,4.6984,4.7301,4.6745,4.6984,658336,0,ABB
2005-03-28,4.722,4.7379,4.6429,4.6905,622491,0,ABB
2005-03-29,4.635,4.6666,4.5873,4.6033,1916067,0,ABB
2005-03-30,4.5873,4.6905,4.5873,4.6666,1063612,0,ABB
2005-03-31,4.6586,4.6586,4.5795,4.5873,302410,0,ABB
2005-04-01,4.6112,4.627,4.5399,4.5556,317431,0,ABB
2005-04-04,4.5319,4.5873,4.4924,4.5717,388490,0,ABB
2005-04-05,4.5717,4.6824,4.5717,4.6824,3520256,0,ABB
2005-04-06,4.6745,4.7301,4.6586,4.6984,659092,0,ABB
2005-04-07,4.7063,4.7696,4.6984,4.7539,2624638,0,ABB
2005-04-08,4.7855,4.8171,4.7379,4.7696,728639,0,ABB
2005-04-11,4.8013,4.8647,4.7776,4.833,3133788,0,ABB
2005-04-12,4.7935,4.8251,4.7142,4.8171,3434179,0,ABB
2005-04-13,4.7935,4.8489,4.7696,4.8171,3935504,0,ABB
2005-04-14,4.7379,4.7379,4.6824,4.6905,2116244,0,ABB
2005-04-15,4.6429,4.6984,4.6112,4.6192,1368927,0,ABB
2005-04-18,4.5556,4.5954,4.5479,4.5873,1205100,0,ABB
2005-04-19,4.6033,4.6824,4.6033,4.6745,1686986,0,ABB
2005-04-20,4.5954,4.635,4.5556,4.5636,389499,0,ABB
2005-04-21,4.5795,4.6192,4.5556,4.6192,1204468,0,ABB
2005-04-22,4.6429,4.6984,4.5873,4.6192,347722,0,ABB
2005-04-25,4.6745,4.6824,4.6192,4.6508,913794,0,ABB
2005-04-26,4.6429,4.6508,4.5873,4.5954,660987,0,ABB
2005-04-27,4.5399,4.5479,4.4607,4.5162,396946,0,ABB
2005-04-28,4.5873,4.5954,4.4924,4.5162,2230595,0,ABB
2005-04-29,4.6033,4.6666,4.5795,4.6666,3106398,0,ABB
2005-05-02,4.6586,4.7457,4.6508,4.7457,2538937,0,ABB
2005-05-03,4.6824,4.6984,4.6586,4.6666,540578,0,ABB
2005-05-04,4.6745,4.7618,4.6666,4.7457,1128234,0,ABB
2005-05-05,4.7539,4.7935,4.7063,4.722,711094,0,ABB
2005-05-06,4.6984,4.7301,4.6824,4.7063,2643570,0,ABB
2005-05-09,4.7142,4.7776,4.6984,4.7696,2640036,0,ABB
2005-05-10,4.6984,4.722,4.6824,4.6984,2338255,0,ABB
2005-05-11,4.7379,4.7539,4.6984,4.7457,1384323,0,ABB
2005-05-12,4.7776,4.8251,4.7618,4.7618,2193866,0,ABB
2005-05-13,4.7696,4.7776,4.6666,4.7142,745931,0,ABB
2005-05-16,4.7301,4.7379,4.6905,4.7301,377509,0,ABB
2005-05-17,4.7457,4.8013,4.7379,4.7776,421811,0,ABB
2005-05-18,4.8013,4.8489,4.7776,4.833,1109302,0,ABB
2005-05-19,4.7618,4.7776,4.7142,4.7776,1945097,0,ABB
2005-05-20,4.6984,4.7063,4.6666,4.7063,1999496,0,ABB
2005-05-23,4.7379,4.7618,4.7301,4.7457,1495140,0,ABB
2005-05-24,4.722,4.7855,4.7142,4.7776,1143254,0,ABB
2005-05-25,4.8013,4.8171,4.7855,4.8092,2871514,0,ABB
2005-05-26,4.8171,4.833,4.8013,4.8092,981572,0,ABB
2005-05-27,4.8806,4.9994,4.8806,4.9756,2156000,0,ABB
2005-05-31,4.8569,4.8806,4.8171,4.8489,937523,0,ABB
2005-06-01,4.8647,4.9281,4.8647,4.9044,997854,0,ABB
2005-06-02,4.944,4.9677,4.9281,4.944,1074719,0,ABB
2005-06-03,4.9121,4.9121,4.8489,4.8647,864319,0,ABB
2005-06-06,4.9121,4.944,4.9044,4.936,996592,0,ABB
2005-06-07,4.9756,5.0072,4.9519,4.9677,788084,0,ABB
2005-06-08,5.0867,5.2292,5.0786,5.142,3787580,0,ABB
2005-06-09,5.0549,5.0867,5.0389,5.0629,1152973,0,ABB
2005-06-10,5.0705,5.0705,4.9836,5.0312,1083807,0,ABB
2005-06-13,5.0549,5.142,5.0389,5.142,1244731,0,ABB
2005-06-14,5.0469,5.0786,5.0469,5.0705,1932979,0,ABB
2005-06-15,5.0549,5.0944,5.0072,5.0705,3422062,0,ABB
2005-06-16,5.0469,5.15,5.0233,5.1261,4329296,0,ABB
2005-06-17,5.142,5.1737,5.1182,5.15,1777232,0,ABB
2005-06-20,5.1105,5.1261,5.0705,5.1105,1565062,0,ABB
2005-06-21,5.0944,5.1579,5.0867,5.1341,1041399,0,ABB
2005-06-22,5.15,5.1816,5.15,5.1737,1304304,0,ABB
2005-06-23,5.1579,5.2607,5.142,5.1816,3104631,0,ABB
2005-06-24,5.2212,5.2371,5.1737,5.1896,2859270,0,ABB
2005-06-27,5.0629,5.1182,5.0629,5.0944,3189575,0,ABB
2005-06-28,5.0312,5.1261,5.0312,5.1105,2460433,0,ABB
2005-06-29,5.142,5.1974,5.1261,5.1657,464219,0,ABB
2005-06-30,4.8726,4.8806,4.7935,4.7935,8559005,0,ABB
2005-07-01,4.7539,4.7776,4.722,4.7539,3582101,0,ABB
2005-07-05,4.6429,4.6905,4.5556,4.627,3384955,0,ABB
2005-07-06,4.6984,4.7457,4.6984,4.7301,2150951,0,ABB
2005-07-07,4.6745,4.7301,4.6745,4.7301,1308343,0,ABB
2005-07-08,4.7142,4.7935,4.7142,4.7618,3485674,0,ABB
2005-07-11,4.8013,4.8647,4.8013,4.8489,847910,0,ABB
2005-07-12,4.8489,4.936,4.8489,4.9281,1187178,0,ABB
2005-07-13,4.9519,4.9677,4.9281,4.9519,1496278,0,ABB
2005-07-14,4.9281,4.9519,4.9121,4.9281,651142,0,ABB
2005-07-15,4.8965,4.9121,4.8489,4.8885,1037487,0,ABB
2005-07-18,4.8647,4.8885,4.8171,4.8409,478606,0,ABB
2005-07-19,4.8251,4.8726,4.8171,4.8569,1410703,0,ABB
2005-07-20,4.8251,4.8806,4.7776,4.8726,715134,0,ABB
2005-07-21,4.8726,4.8885,4.7935,4.8409,533886,0,ABB
2005-07-22,4.8251,4.833,4.7855,4.8171,968191,0,ABB
2005-07-25,4.8013,4.8171,4.7776,4.7855,528081,0,ABB
2005-07-26,4.7776,4.8251,4.7379,4.8171,553200,0,ABB
2005-07-27,4.8726,4.9519,4.8489,4.944,688503,0,ABB
2005-07-28,5.0389,5.1261,5.0152,5.1105,2141615,0,ABB
2005-07-29,5.0786,5.1024,5.0389,5.0389,2727376,0,ABB
2005-08-01,5.15,5.2212,5.15,5.2055,1615422,0,ABB
2005-08-02,5.2055,5.2292,5.1816,5.1974,751861,0,ABB
2005-08-03,5.3084,5.3797,5.2767,5.34,1668181,0,ABB
2005-08-04,5.348,5.3718,5.3006,5.3242,677648,0,ABB
2005-08-05,5.2767,5.2767,5.2292,5.245,618453,0,ABB
2005-08-08,5.3006,5.3718,5.2927,5.34,1724600,0,ABB
2005-08-09,5.3322,5.3876,5.3163,5.3797,1004418,0,ABB
2005-08-10,5.3797,5.4352,5.3639,5.3797,1096302,0,ABB
2005-08-11,5.4034,5.4193,5.3797,5.4193,803863,0,ABB
2005-08-12,5.3718,5.3797,5.34,5.3797,682571,0,ABB
2005-08-15,5.3639,5.3955,5.356,5.3876,712482,0,ABB
2005-08-16,5.3718,5.3797,5.3084,5.3163,590306,0,ABB
2005-08-17,5.2607,5.2689,5.2371,5.2529,844882,0,ABB
2005-08-18,5.1896,5.1896,5.1341,5.15,1171653,0,ABB
2005-08-19,5.2292,5.2607,5.1579,5.2529,923512,0,ABB
2005-08-22,5.356,5.3797,5.3242,5.34,1555472,0,ABB
2005-08-23,5.3006,5.3322,5.2689,5.2927,601918,0,ABB
2005-08-24,5.2529,5.3006,5.2134,5.2371,626403,0,ABB
2005-08-25,5.2689,5.2927,5.245,5.2767,693425,0,ABB
2005-08-26,5.2767,5.2927,5.2371,5.245,613528,0,ABB
2005-08-29,5.2292,5.245,5.1816,5.245,934242,0,ABB
2005-08-30,5.2292,5.2767,5.2134,5.2689,1702511,0,ABB
2005-08-31,5.3163,5.4034,5.2846,5.3955,2289537,0,ABB
2005-09-01,5.4985,5.5777,5.4985,5.562,3388742,0,ABB
2005-09-02,5.6412,5.6887,5.6332,5.6332,2114604,0,ABB
2005-09-06,5.7205,5.7205,5.6808,5.7045,1691406,0,ABB
2005-09-07,5.6093,5.6254,5.5777,5.5937,1214059,0,ABB
2005-09-08,5.5541,5.5777,5.5224,5.5541,677144,0,ABB
2005-09-09,5.562,5.5777,5.5382,5.5777,375616,0,ABB
2005-09-12,5.5065,5.5224,5.4747,5.5065,752115,0,ABB
2005-09-13,5.4114,5.4668,5.356,5.4431,1919224,0,ABB
2005-09-14,5.4747,5.4907,5.4431,5.459,1108924,0,ABB
2005-09-15,5.4828,5.4907,5.4193,5.459,698095,0,ABB
2005-09-16,5.4668,5.4747,5.4272,5.459,595986,0,ABB
2005-09-19,5.4431,5.451,5.3955,5.4193,574908,0,ABB
2005-09-20,5.4114,5.4431,5.348,5.3639,598257,0,ABB
2005-09-21,5.4034,5.4272,5.3797,5.3797,1174430,0,ABB
2005-09-22,5.356,5.3718,5.3084,5.348,1248012,0,ABB
2005-09-23,5.3084,5.34,5.2846,5.3242,909000,0,ABB
2005-09-26,5.348,5.3639,5.2927,5.3322,1163827,0,ABB
2005-09-27,5.2689,5.3242,5.2689,5.3163,1435946,0,ABB
2005-09-28,5.356,5.3797,5.3322,5.348,1141106,0,ABB
2005-09-29,5.3876,5.4193,5.356,5.4114,1934118,0,ABB
2005-09-30,5.4114,5.4747,5.4114,5.451,1676132,0,ABB
2005-10-03,5.4668,5.5144,5.451,5.4985,1597501,0,ABB
2005-10-04,5.5302,5.5699,5.4668,5.4668,1111197,0,ABB
2005-10-05,5.4668,5.4907,5.4114,5.4193,931213,0,ABB
2005-10-06,5.5144,5.5937,5.5144,5.546,845388,0,ABB
2005-10-07,5.5302,5.546,5.4747,5.4985,421683,0,ABB
2005-10-10,5.4985,5.4985,5.451,5.4668,423324,0,ABB
2005-10-11,5.4907,5.5144,5.4352,5.451,694561,0,ABB
2005-10-12,5.451,5.4828,5.3955,5.4272,904961,0,ABB
2005-10-13,5.3718,5.3876,5.2927,5.3797,1051748,0,ABB
2005-10-14,5.3797,5.4193,5.3639,5.4114,299003,0,ABB
2005-10-17,5.356,5.3797,5.3242,5.3322,841348,0,ABB
2005-10-18,5.2846,5.3322,5.2689,5.2689,1017291,0,ABB
2005-10-19,5.1896,5.2689,5.1261,5.2607,1113593,0,ABB
2005-10-20,5.1974,5.2134,5.142,5.15,924019,0,ABB
2005-10-21,5.1737,5.1896,5.1261,5.15,380791,0,ABB
2005-10-24,5.1974,5.2927,5.1974,5.2607,1205100,0,ABB
2005-10-25,5.2689,5.2846,5.2371,5.2607,542598,0,ABB
2005-10-26,5.2529,5.3006,5.2529,5.2689,423829,0,ABB
2005-10-27,5.2529,5.2689,5.1579,5.1896,384577,0,ABB
2005-10-28,5.4431,5.6176,5.4431,5.6093,2200303,0,ABB
2005-10-31,5.6808,5.7759,5.6332,5.7679,4599773,0,ABB
2005-11-01,5.7125,5.7125,5.657,5.6728,1147798,0,ABB
2005-11-02,5.6492,5.7522,5.6492,5.7441,2419537,0,ABB
2005-11-03,5.7759,5.8314,5.7522,5.7996,2446549,0,ABB
2005-11-04,5.9503,5.974,5.8234,5.8788,9037487,0,ABB
2005-11-07,5.8788,5.9105,5.8393,5.9028,2552064,0,ABB
2005-11-08,5.8393,5.8631,5.8234,5.8314,4727500,0,ABB
2005-11-09,5.7522,5.8314,5.7522,5.7916,1141106,0,ABB
2005-11-10,5.9342,6.1007,5.9265,6.0769,4613151,0,ABB
2005-11-11,6.0533,6.0928,6.0295,6.069,2279313,0,ABB
2005-11-14,6.1402,6.172,6.1087,6.1166,2142623,0,ABB
2005-11-15,6.1244,6.1325,6.069,6.1007,1062981,0,ABB
2005-11-16,6.069,6.1402,6.0533,6.1087,1966553,0,ABB
2005-11-17,6.2988,6.3147,6.069,6.1325,6524928,0,ABB
2005-11-18,6.18,6.2355,6.172,6.2355,5299635,0,ABB
2005-11-21,6.3621,6.3702,6.267,6.2988,1591189,0,ABB
2005-11-22,6.3938,6.5127,6.3543,6.5049,3438975,0,ABB
2005-11-23,6.5205,6.5998,6.489,6.5127,3237536,0,ABB
2005-11-25,6.5127,6.5127,6.4573,6.4811,332701,0,ABB
2005-11-28,6.4969,6.5049,6.3938,6.4097,2800453,0,ABB
2005-11-29,6.4018,6.4653,6.386,6.4414,1322355,0,ABB
2005-11-30,6.4414,6.5523,6.4335,6.4811,4569607,0,ABB
2005-12-01,6.5682,6.8139,6.5682,6.7345,5250537,0,ABB
2005-12-02,6.7108,6.7979,6.6632,6.7583,11171779,0,ABB
2005-12-05,6.7345,6.8059,6.695,6.7979,4158400,0,ABB
2005-12-06,6.8059,6.8297,6.7345,6.7979,2557870,0,ABB
2005-12-07,6.7188,6.7345,6.6711,6.7108,1563550,0,ABB
2005-12-08,6.6632,6.7424,6.6238,6.7108,3438344,0,ABB
2005-12-09,6.7583,6.9168,6.7583,6.8852,3575035,0,ABB
2005-12-12,6.9801,6.9801,6.9486,6.9643,1395305,0,ABB
2005-12-13,6.9643,7.0356,6.9486,6.996,2266818,0,ABB
2005-12-14,6.9643,6.9643,6.8771,6.9168,2842611,0,ABB
2005-12-15,6.8534,6.8692,6.782,6.8139,1460305,0,ABB
2005-12-16,6.8297,6.8534,6.7345,6.7741,4060456,0,ABB
2005-12-19,6.8376,6.8613,6.7901,6.7979,2654043,0,ABB
2005-12-20,6.8534,6.8771,6.7741,6.7901,1398334,0,ABB
2005-12-21,6.8534,6.9405,6.8534,6.9405,1727754,0,ABB
2005-12-22,6.8613,6.9486,6.8534,6.8852,1885525,0,ABB
2005-12-23,6.9168,6.9643,6.8613,6.8931,1193740,0,ABB
2005-12-27,7.0038,7.0593,6.996,7.0119,2384954,0,ABB
2005-12-28,7.1702,7.1941,7.1546,7.1861,1357439,0,ABB
2005-12-29,7.2259,7.2972,7.2099,7.2495,1534521,0,ABB
2005-12-30,7.1702,7.2179,7.1307,7.1941,1498422,0,ABB
2006-01-03,7.4713,7.6775,7.4318,7.5427,5254575,0,ABB
2006-01-04,7.6615,7.8041,7.6536,7.7566,2948380,0,ABB
2006-01-05,7.8596,7.8835,7.7803,7.8122,4035466,0,ABB
2006-01-06,7.9309,7.9388,7.8437,7.8755,2322983,0,ABB
2006-01-09,8.0577,8.1051,8.0182,8.1051,2961000,0,ABB
2006-01-10,7.9467,8.0894,7.9309,8.0338,1611764,0,ABB
2006-01-11,8.2162,8.3116,8.2083,8.2795,2970212,0,ABB
2006-01-12,8.232,8.232,8.1131,8.1528,1641172,0,ABB
2006-01-13,8.1765,8.1765,8.0338,8.0894,2554462,0,ABB
2006-01-17,8.0498,8.0735,7.9864,8.0498,1915942,0,ABB
2006-01-18,7.8359,7.9072,7.828,7.8913,2097815,0,ABB
2006-01-19,8.0182,8.0974,7.9785,8.0498,2075352,0,ABB
2006-01-20,8.0894,8.0974,7.8755,7.9151,1214691,0,ABB
2006-01-23,7.9626,8.026,7.9467,8.026,1360343,0,ABB
2006-01-24,7.9467,7.9467,7.6775,7.7012,9355548,0,ABB
2006-01-25,7.8755,7.9229,7.8517,7.8674,3750094,0,ABB
2006-01-26,8.0657,8.3116,8.0657,8.2479,4141613,0,ABB
2006-01-27,8.295,8.295,8.0735,8.0974,2095292,0,ABB
2006-01-30,8.1051,8.1289,8.0182,8.0974,1970213,0,ABB
2006-01-31,8.026,8.0974,7.9864,8.0894,2461945,0,ABB
2006-02-01,8.0815,8.1922,8.0735,8.1607,1734065,0,ABB
2006-02-02,8.1449,8.1607,8.026,8.0418,1588792,0,ABB
2006-02-03,8.0577,8.1607,8.0418,8.0974,1510918,0,ABB
2006-02-06,8.0735,8.0974,8.0022,8.0657,851067,0,ABB
2006-02-07,8.0338,8.0657,7.9864,8.026,1343684,0,ABB
2006-02-08,7.8674,7.9229,7.8122,7.9151,3226430,0,ABB
2006-02-09,7.9467,8.0182,7.9229,7.9229,2146662,0,ABB
2006-02-10,8.0338,8.0498,7.8755,7.9547,868105,0,ABB
2006-02-13,7.9072,7.9943,7.9072,7.9943,1744415,0,ABB
2006-02-14,7.9785,8.0182,7.9151,8.0022,2143759,0,ABB
2006-02-15,7.9072,7.9388,7.4159,7.7566,2794017,0,ABB
2006-02-16,8.0498,8.3664,8.0418,8.3116,10218730,0,ABB
2006-02-17,8.3351,8.4142,8.3272,8.3751,3811942,0,ABB
2006-02-21,8.5011,8.5489,8.4777,8.5255,2637889,0,ABB
2006-02-22,8.6915,8.762,8.6601,8.7391,2367663,0,ABB
2006-02-23,8.8183,8.8493,8.7703,8.7951,1919475,0,ABB
2006-02-24,8.8902,9.1041,8.8902,9.0882,5830116,0,ABB
2006-02-27,9.1989,9.3168,9.1357,9.2694,5236905,0,ABB
2006-02-28,8.9766,9.0008,8.8183,8.9218,5356304,0,ABB
2006-03-01,9.1738,9.2694,9.0557,9.223,4461189,0,ABB
2006-03-02,9.0083,9.119,8.9925,9.0957,3102614,0,ABB
2006-03-03,9.0882,9.144,9.0641,9.0882,1411839,0,ABB
2006-03-06,9.144,9.1738,8.9925,9.025,3139720,0,ABB
2006-03-07,8.7869,8.8339,8.6996,8.8109,3853338,0,ABB
2006-03-08,8.5175,8.652,8.4376,8.6124,6150955,0,ABB
2006-03-09,8.6601,8.6996,8.5963,8.6124,2854727,0,ABB
2006-03-10,8.6206,8.7703,8.581,8.7239,1532373,0,ABB
2006-03-13,8.945,9.0334,8.945,9.0008,1819260,0,ABB
2006-03-14,9.1273,9.223,9.1041,9.2076,2095544,0,ABB
2006-03-15,9.1589,9.1673,9.0557,9.1589,1353530,0,ABB
2006-03-16,9.0957,9.1989,9.0641,9.119,1389498,0,ABB
2006-03-17,9.0715,9.1989,9.0473,9.1902,1507889,0,ABB
2006-03-20,9.1902,9.1989,9.0715,9.119,1043040,0,ABB
2006-03-21,8.9925,9.025,8.9367,8.9609,1632337,0,ABB
2006-03-22,8.8902,8.9766,8.8902,8.9609,1615676,0,ABB
2006-03-23,8.8735,8.8818,8.7553,8.7869,1783289,0,ABB
2006-03-24,8.866,8.945,8.8418,8.9302,1163448,0,ABB
2006-03-27,8.9218,8.9609,8.8418,8.9051,1297742,0,ABB
2006-03-28,9.0334,9.1273,8.9609,8.9841,2241196,0,ABB
2006-03-29,9.0473,9.1822,9.025,9.1673,1211410,0,ABB
2006-03-30,9.2617,9.3884,9.2617,9.3497,1935252,0,ABB
2006-03-31,9.341,9.3642,9.254,9.2936,1584374,0,ABB
2006-04-03,9.4677,9.626,9.4599,9.531,2365391,0,ABB
2006-04-04,9.65,9.706,9.65,9.681,1353654,0,ABB
2006-04-05,9.579,9.667,9.524,9.65,1169129,0,ABB
2006-04-06,9.507,9.571,9.429,9.539,4904582,0,ABB
2006-04-07,9.706,9.793,9.531,9.65,2848289,0,ABB
2006-04-10,9.548,9.563,9.4522,9.4918,1750221,0,ABB
2006-04-11,9.507,9.548,9.3584,9.3884,1020068,0,ABB
2006-04-12,9.341,9.4918,9.3342,9.4831,1209264,0,ABB
2006-04-13,9.501,9.635,9.501,9.626,1371450,0,ABB
